,Alert,IQR,Kurto,Entro,Skewn,Sex,Comp,Picos,Umbral,Gama
1,FALSE,2.6938,1.73447,1.7616,0.140613,Mujer,Slim,0,15.708,Alta
2,FALSE,2.5478,2.08198,1.71931,0.104144,Mujer,Slim,0,15.861,Alta
3,FALSE,2.5754,3.82861,1.53336,0.687755,Mujer,Slim,2,17.283,Alta
4,FALSE,2.5976,1.97106,1.7468,-0.07677,Mujer,Slim,1,17.49,Alta
5,FALSE,2.5725,1.94219,1.73949,0.130674,Mujer,Slim,0,15.621,Alta
6,FALSE,2.4877,2.25924,1.68341,0.235862,Mujer,Slim,0,15.393,Alta
7,FALSE,2.1019,3.18739,1.65221,0.567365,Mujer,Slim,1,18.179,Alta
8,FALSE,2.4321,3.20633,1.65577,0.73676,Mujer,Slim,1,17.093,Alta
9,FALSE,2.8897,1.69029,1.74868,-0.06163,Mujer,Slim,0,15.085,Alta
10,FALSE,2.9228,2.50571,1.78386,0.735452,Mujer,Slim,0,16.503,Alta
11,FALSE,2.6816,1.72761,1.81599,0.22205,Mujer,Slim,0,16.156,Alta
12,FALSE,3.1219,1.61712,1.79701,0.153509,Mujer,Slim,0,15.48,Alta
13,FALSE,3.1457,1.5117,1.75036,0.127427,Mujer,Slim,0,15.255,Alta
14,FALSE,2.6629,2.43848,1.69147,0.388189,Mujer,Slim,0,16.062,Alta
15,FALSE,2.785,1.83942,1.78047,0.20567,Mujer,Slim,0,15.023,Alta
16,FALSE,2.5798,2.40903,1.72348,0.416225,Mujer,Slim,0,16.751,Alta
17,FALSE,3.0512,0.94594,1.92044,0.028998,Mujer,Slim,0,15.23,Alta
18,FALSE,2.8773,2.13569,1.68036,0.259601,Mujer,Slim,1,19.814,Alta
19,FALSE,3.142,2.03597,1.79379,0.354834,Mujer,Slim,0,15.127,Alta
20,FALSE,2.8583,1.40237,1.77101,0.179597,Mujer,Slim,1,18.142,Alta
21,FALSE,0.179574,19.0538,0.74779,1.1355,Mujer,Slim,1,18.975,Media
22,FALSE,2.5547,3.38191,1.65934,1.5156,Mujer,Slim,1,15.712,Media
23,FALSE,1.243295,15.3646,1.04969,3.1469,Mujer,Slim,1,18.516,Media
24,FALSE,0.934225,26.8795,0.9311,4.0769,Mujer,Slim,1,25.213,Media
25,FALSE,1.767846,0.45095,1.8877,1,Mujer,Slim,0,15.054,Media
26,FALSE,0.44519,27.4755,0.75715,3.8054,Mujer,Slim,1,26.282,Media
27,FALSE,3.73873,0.23949,2.0403,0.8925,Mujer,Slim,0,16.092,Media
28,FALSE,3.006357,0.07622,2.05251,0.6521,Mujer,Slim,0,15.745,Media
29,FALSE,0.306407,21.0174,0.8217,3.9199,Mujer,Slim,2,22.08,Media
30,FALSE,0.458214,12.9301,1.10409,2.6329,Mujer,Slim,1,19.264,Media
31,FALSE,3.913486,-0.0175,2.00438,0.6382,Mujer,Slim,2,17.192,Media
32,FALSE,3.891674,0.03267,2.0412,0.707,Mujer,Slim,0,15.29,Media
33,FALSE,2.718139,2.00634,1.81846,1.0309,Mujer,Slim,1,17.579,Media
34,FALSE,2.405106,1.86771,1.67341,0.9531,Mujer,Slim,1,17.971,Media
35,FALSE,3.813093,0.06158,2.07037,0.591,Mujer,Slim,1,17.151,Media
36,FALSE,1.720988,8.76372,1.43969,2.3724,Mujer,Slim,0,16.926,Media
37,FALSE,3.545061,0.36662,2.00187,0.7482,Mujer,Slim,1,15.769,Media
38,FALSE,3.687428,0.0188,2.07121,0.8267,Mujer,Slim,0,15.228,Media
39,FALSE,0.215955,30.3048,0.62253,3.5387,Mujer,Slim,1,20.691,Media
40,FALSE,3.373467,0.02339,2.00333,0.5648,Mujer,Slim,0,16.926,Media
41,FALSE,2.692589,2.01898,1.82783,1.3054,Mujer,Slim,0,15.973,Alta
42,FALSE,1.823507,2.64371,1.66103,1.5285,Mujer,Slim,0,15.873,Alta
43,FALSE,2.022925,1.81616,1.76966,1.4425,Mujer,Slim,1,18.727,Alta
44,FALSE,0.244492,15.4065,0.85681,2.7641,Mujer,Slim,1,26.178,Alta
45,FALSE,0.805093,13.2453,1.2491,2.7479,Mujer,Slim,1,21.614,Alta
46,FALSE,2.72188,1.2858,1.88561,1.033,Mujer,Slim,0,16.381,Alta
47,FALSE,2.127,1.61738,1.78693,1.3057,Mujer,Slim,1,17.569,Alta
48,FALSE,1.392885,13.363,1.1647,2.4151,Mujer,Slim,1,24.324,Alta
49,FALSE,1.783775,1.74316,1.73947,1.0321,Mujer,Slim,0,16.215,Alta
50,FALSE,2.793914,1.85223,1.80286,1.13,Mujer,Slim,1,15.585,Alta
51,FALSE,2.290624,2.25755,1.74714,1.2598,Mujer,Slim,0,16.229,Alta
52,FALSE,0.678798,13.3813,0.94458,2.756,Mujer,Slim,1,24.933,Alta
53,FALSE,1.793488,2.52596,1.75134,1.3847,Mujer,Slim,0,15.116,Alta
54,FALSE,1.900005,1.50883,1.81802,1.0374,Mujer,Slim,1,17.557,Alta
55,FALSE,0.569732,15.2196,0.9427,1.9921,Mujer,Slim,1,18.05,Alta
56,FALSE,2.248256,2.0201,1.76537,0.5593,Mujer,Slim,0,15.63,Alta
57,FALSE,3.419688,0.70568,1.95863,0.7514,Mujer,Slim,1,17.102,Alta
58,FALSE,1.995983,2.34079,1.76207,1.5071,Mujer,Slim,2,18.886,Alta
59,FALSE,1.650177,3.99887,1.64264,1.1598,Mujer,Slim,0,16.555,Alta
60,FALSE,2.469147,2.30657,1.76251,1.2946,Mujer,Slim,2,19.097,Alta
61,FALSE,13.4673,-1.409,2.2014,0.199,Mujer,Slim,4,22.4361,Media
62,FALSE,6.900674,0.2956,2.02528,0.8714,Mujer,Slim,5,29.933,Media
63,FALSE,8.364575,-0.2153,2.0933,0.9095,Mujer,Slim,7,21.229,Media
64,FALSE,10.26467,-0.5438,2.10922,0.7004,Mujer,Slim,1,16.692,Media
65,FALSE,6.536545,0.65967,2.02802,0.7935,Mujer,Slim,4,19.045,Media
66,FALSE,12.06852,-1.0224,2.13535,0.3479,Mujer,Slim,8,22.592,Media
67,FALSE,11.01961,-0.8761,2.19967,0.3874,Mujer,Slim,5,24.06,Media
68,FALSE,4.228833,1.23859,1.95278,1.0462,Mujer,Slim,5,19.215,Media
69,FALSE,5.892532,0.3458,1.9305,0.4198,Mujer,Slim,6,19.082,Media
70,FALSE,10.08234,-0.4767,2.17264,0.6162,Mujer,Slim,8,25.216,Media
71,FALSE,10.39605,-0.8085,2.12453,0.4051,Mujer,Slim,5,20.335,Media
72,FALSE,4.935277,-0.0558,2.09697,0.3839,Mujer,Slim,3,15.168,Media
73,FALSE,9.221904,0.12264,2.0409,0.9634,Mujer,Slim,8,20.815,Media
74,FALSE,8.69599,-0.1662,2.09812,0.8904,Mujer,Slim,1,17.753,Media
75,FALSE,7.067159,0.24181,2.02533,0.961,Mujer,Slim,5,25.788,Media
76,FALSE,1.080208,6.35174,1.48665,1.6374,Mujer,Slim,1,19.656,Media
77,FALSE,11.88038,-1.0194,2.18644,0.3734,Mujer,Slim,8,21.701,Media
78,FALSE,10.17523,-0.8298,2.18077,0.44,Mujer,Slim,6,17.243,Media
79,FALSE,2.109518,1.75344,1.69614,0.352,Mujer,Slim,1,22.099,Media
80,FALSE,8.702937,-0.1255,2.04973,0.8964,Mujer,Slim,4,15.1,Media
81,FALSE,6.760759,0.27121,1.98163,0.9809,Mujer,Slim,5,25.356,Media
82,FALSE,1.60001,2.74373,1.7453,0.78652,Mujer,Slim,0,18.675,Alta
83,FALSE,13.0604,-0.4472,2.125,0.59881,Mujer,Slim,1,15.907,Alta
84,FALSE,10.9847,-0.1991,2.124,0.65985,Mujer,Slim,8,28.246,Alta
85,FALSE,10.1709,1.08232,1.9337,1.30866,Mujer,Slim,1,28.352,Alta
86,FALSE,12.6359,-0.6032,2.1445,0.52938,Mujer,Slim,7,28.047,Alta
87,FALSE,10.6376,-0.6757,2.1202,0.40598,Mujer,Slim,8,19.964,Alta
88,FALSE,3.87081,1.68075,1.8672,0.93829,Mujer,Slim,3,17.637,Alta
